,"capital","LABOUR","output","SAVING","DEPR","INVEST","CONSUMP","NET INV"
"t329", 1.817604380066E+05, 6.752374322089E+04, 9.088021900677E+04, 1.817604380135E+04, 5.452813140197E+03, 9.088021900329E+03, 7.270417520541E+04, 9.088021901025E+03
"t330", 1.853956467674E+05, 6.887421808531E+04, 9.269782338701E+04, 1.853956467740E+04, 5.561869403022E+03, 9.269782338370E+03, 7.415825870960E+04, 9.269782339031E+03
"t331", 1.891035597034E+05, 7.025170244702E+04, 9.455177985484E+04, 1.891035597097E+04, 5.673106791102E+03, 9.455177985170E+03, 7.564142388388E+04, 9.455177985799E+03
"t332", 1.928856308981E+05, 7.165673649596E+04, 9.644281545204E+04, 1.928856309041E+04, 5.786568926943E+03, 9.644281544905E+03, 7.715425236163E+04, 9.644281545502E+03
"t333", 1.967433435167E+05, 7.308987122588E+04, 9.837167176117E+04, 1.967433435223E+04, 5.902300305500E+03, 9.837167175833E+03, 7.869733740893E+04, 9.837167176400E+03
"t334", 2.006782103876E+05, 7.455166865039E+04, 1.003391051965E+05, 2.006782103929E+04, 6.020346311627E+03, 1.003391051938E+04, 8.027128415718E+04, 1.003391051992E+04
"t335", 2.046917745959E+05, 7.604270202340E+04, 1.023458873005E+05, 2.046917746010E+04, 6.140753237876E+03, 1.023458872979E+04, 8.187670984039E+04, 1.023458873030E+04
"t336", 2.087856100883E+05, 7.756355606387E+04, 1.043928050466E+05, 2.087856100931E+04, 6.263568302648E+03, 1.043928050441E+04, 8.351424403726E+04, 1.043928050490E+04
"t337", 2.129613222905E+05, 7.911482718515E+04, 1.064806611476E+05, 2.129613222952E+04, 6.388839668716E+03, 1.064806611453E+04, 8.518452891806E+04, 1.064806611499E+04
"t338", 2.172205487368E+05, 8.069712372885E+04, 1.086102743706E+05, 2.172205487412E+04, 6.516616462104E+03, 1.086102743684E+04, 8.688821949648E+04, 1.086102743728E+04
"t339", 2.215649597120E+05, 8.231106620343E+04, 1.107824798581E+05, 2.215649597161E+04, 6.646948791359E+03, 1.107824798560E+04, 8.862598388646E+04, 1.107824798602E+04
"t340", 2.259962589066E+05, 8.395728752750E+04, 1.129981294553E+05, 2.259962589106E+04, 6.779887767199E+03, 1.129981294533E+04, 9.039850356424E+04, 1.129981294573E+04
"t341", 2.305161840852E+05, 8.563643327805E+04, 1.152580920445E+05, 2.305161840889E+04, 6.915485522555E+03, 1.152580920426E+04, 9.220647363557E+04, 1.152580920463E+04
"t342", 2.351265077672E+05, 8.734916194361E+04, 1.175632538854E+05, 2.351265077708E+04, 7.053795233017E+03, 1.175632538836E+04, 9.405060310833E+04, 1.175632538872E+04
"t343", 2.398290379229E+05, 8.909614518248E+04, 1.199145189632E+05, 2.398290379263E+04, 7.194871137688E+03, 1.199145189615E+04, 9.593161517054E+04, 1.199145189649E+04
"t344", 2.446256186817E+05, 9.087806808613E+04, 1.223128093425E+05, 2.446256186850E+04, 7.338768560452E+03, 1.223128093409E+04, 9.785024747399E+04, 1.223128093441E+04
"t345", 2.495181310557E+05, 9.269562944785E+04, 1.247590655294E+05, 2.495181310588E+04, 7.485543931671E+03, 1.247590655279E+04, 9.980725242351E+04, 1.247590655309E+04
"t346", 2.545084936771E+05, 9.454954203681E+04, 1.272542468400E+05, 2.545084936800E+04, 7.635254810314E+03, 1.272542468386E+04, 1.018033974720E+05, 1.272542468415E+04
"t347", 2.595986635510E+05, 9.644053287754E+04, 1.297993317769E+05, 2.595986635537E+04, 7.787959906529E+03, 1.297993317755E+04, 1.038394654215E+05, 1.297993317782E+04
"t348", 2.647906368223E+05, 9.836934353509E+04, 1.323953184124E+05, 2.647906368249E+04, 7.943719104668E+03, 1.323953184111E+04, 1.059162547300E+05, 1.323953184138E+04
"t349", 2.700864495590E+05, 1.003367304058E+05, 1.350432247807E+05, 2.700864495615E+04, 8.102593486769E+03, 1.350432247795E+04, 1.080345798246E+05, 1.350432247820E+04
"t350", 2.754881785504E+05, 1.023434650139E+05, 1.377440892764E+05, 2.754881785528E+04, 8.264645356512E+03, 1.377440892752E+04, 1.101952714211E+05, 1.377440892776E+04
"t351", 2.809979421216E+05, 1.043903343142E+05, 1.404989710619E+05, 2.809979421239E+04, 8.429938263649E+03, 1.404989710608E+04, 1.123991768496E+05, 1.404989710631E+04
"t352", 2.866179009643E+05, 1.064781410005E+05, 1.433089504832E+05, 2.866179009664E+04, 8.598537028929E+03, 1.433089504821E+04, 1.146471603866E+05, 1.433089504843E+04
"t353", 2.923502589838E+05, 1.086077038205E+05, 1.461751294929E+05, 2.923502589858E+04, 8.770507769514E+03, 1.461751294919E+04, 1.169401035943E+05, 1.461751294939E+04
"t354", 2.981972641637E+05, 1.107798578969E+05, 1.490986320828E+05, 2.981972641656E+04, 8.945917924910E+03, 1.490986320818E+04, 1.192789056662E+05, 1.490986320838E+04
"t355", 3.041612094471E+05, 1.129954550548E+05, 1.520806047245E+05, 3.041612094490E+04, 9.124836283414E+03, 1.520806047236E+04, 1.216644837796E+05, 1.520806047254E+04
